Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Lifespan (MYA),Early Age,Late Age,Early Period,Late Period,Avialae
Muyelensaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,89.8,83.6,6.200000000000003,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Overosaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Pitekunsaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Punatitan,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Rinconsaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Uberabatitan,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Chucarosaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,100.5,89.8,10.700000000000003,Cenomanian,Turonian,Upper Cretaceous,Upper Cretaceous,False
Notocolossus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,89.8,83.6,6.200000000000003,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Puertasaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Argentinosaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,100.5,89.8,10.700000000000003,Cenomanian,Turonian,Upper Cretaceous,Upper Cretaceous,False
Bonitasaura,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Dreadnoughtus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Inawentu,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,False
Menucocelsior,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Patagotitan,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,113.0,100.5,12.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous,False
Ampelosaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Atsinganosaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Garrigatitan,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Lirainosaurus,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Lohuecotitan,,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Opisthocoelicaudia,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Neuquensaurus,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,86.3,66.0,20.299999999999997,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Saltasaurus,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Alamosaurus,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Bonatitan,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Ibirania,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,86.3,72.1,14.200000000000003,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Rocasaurus,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Yamanasaurus,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Abditosaurus,Saltasauridae,Sauropoda,Sauropodomorpha,Saurischia,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
