"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"819575","occ","","","90077","Coloborhynchus moroccensis","species","148853","Early Cenomanian","","100.5","93.9","30203","Chordata","Reptilia","Pterosauria","Anhangueridae","Coloborhynchus","-4.916667","30.416668","MA","Drâa-Tafilalet","Errachidia","estimated from map","minutes","small collection","Ibrahim et al. (2010:3) cast doubt on the limited locality data available for this specimen"
"820350","occ","","","90189","Montanazhdarcho minor","species","149288","Campanian","","83.6","72.1","30265","Chordata","Reptilia","Pterosauria","Azhdarchidae","Montanazhdarcho","-113.000000","48.066666","US","Montana","Glacier","based on political unit","minutes","","Glacier County, Montana; more detailed locality information not provided but is available on application to Museum of the Rockies"
"820890","occ","","","90306","Istiodactylus latidens","species","135363","Late Barremian","Early Aptian","125.77","119.5","30317","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Istiodactylus","-1.361944","50.609444","UK","England","Isle of Wight","based on nearby landmark","seconds","outcrop",""
"821006","occ","","","90342","Caulkicephalus trimicrodon","species","149958","Barremian","","125.77","121.4","30342","Chordata","Reptilia","Pterosauria","Ornithocheiridae","Caulkicephalus","-1.131944","50.663612","UK","England","Isle of Wight","stated in text","seconds","","National Grid Reference SZ 614852"
"824849","occ","","","90871","Nesodactylus hesperius","species","139629","Late Oxfordian","","157.9","154.8","30566","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Nesodactylus","-83.646942","22.688057","CU","Pinar del Rio","","estimated from map","seconds","small collection","8 kilometres north and 7 kilometres east of the town of Viñales, or about 10 km NE of the town."
"824850","occ","","","90872","Cacibupteryx caribensis","species","152527","Middle Oxfordian","Late Oxfordian","161.5","154.8","30567","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Cacibupteryx","-83.616669","22.716667","CU","Pinar del Rio","","estimated from map","minutes","hand sample","Mogote Jagua Vieja, north-east of Vinales, Vinales Valley"
"826860","occ","","","67611","Istiodactylus sinensis","species","135365","Late Barremian","Early Aptian","125.77","119.5","28404","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Istiodactylus","121.138130","41.134010","CN","Liaoning","Yixian","based on nearby landmark","6","small collection","Baicaigou (= Baitaigou), Toutai, approx. 11 km N of Yizhou, Jinzhou region, western Liaoning; Jinzhou city, Yixian county"
"827898","occ","","","91265","Changchengopterus pani","species","153898","Late Bathonian","Early Kimmeridgian","168.2","152.2","30706","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Changchengopterus","119.366699","40.483334","CN","Hebei","Qinglong","based on nearby landmark","6","outcrop","Mutoudeng town, Qinglong county, northern Hebei province"
"829167","occ","","","91411","Noripterus complicidens","species","65713","Valanginian","Barremian","139.8","121.4","30777","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Noripterus","92.597778","48.754166","MN","Uvs","","stated in text","seconds","small collection",""
"829168","occ","","","91412","Noripterus complicidens","species","65713","Valanginian","Barremian","139.8","121.4","30777","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Noripterus","92.595001","48.758331","MN","Uvs","","stated in text","seconds","small collection",""
"829169","occ","","","91412","Dsungaripterus weii","species","100403","Valanginian","Barremian","139.8","121.4","30777","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Dsungaripterus","92.595001","48.758331","MN","Uvs","","stated in text","seconds","small collection",""
"829807","occ","","","91558","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","11.571389","49.941387","DE","Bayern","","based on nearby landmark","seconds","local area","Collected from various places around the town of Bayreuth, but more detailed collections information not available. Coordinates are for Bayreuth"
"829808","occ","","","91559","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Coordinates are for the village of Ohmden; no more precise data available"
"829809","occ","","","91560","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","outcrop","Coordinates based upon the village of Holzmaden"
"829810","occ","","","91561","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.646111","48.749443","DE","Baden-Württenburg","Göppingen","based on nearby landmark","seconds","outcrop","Coordinates based upon the village of Zell"
"829811","occ","","","91562","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30857","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","11.022778","50.092777","DE","Bayern","Lichtenfels","based on nearby landmark","seconds","local area","Specimens collected from around the village of Banz (now Bad Staffelstein); coordinates are for the Kloster Banz where material was initially held"
"829812","occ","","","91563","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30857","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","11.016111","50.143055","DE","Bayern","Lichtenfels","based on nearby landmark","seconds","small collection","Specimen collected from the vicinity of the village of Weingarten"
"829813","occ","","","91565","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30857","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","10.949167","50.156387","DE","Bayern","Lichtenfels","based on nearby landmark","seconds","small collection","Roadcut between Altenbanz and Rossach"
"829985","occ","","","91564","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","10.706111","52.357498","DE","Niedersachsen","Helmstedt","based on nearby landmark","seconds","small collection","Village of Flechtorf, near Braunschweig"
"829986","occ","","","91587","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Coordinates are for the village of Ohmden; no more precise data available"
"829987","occ","","","91588","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Holzmaden"
"829988","occ","","","91589","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","small collection","Coordinates based upon the village of Holzmaden"
"829998","occ","","","91592","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","outcrop","Coordinates based upon the village of Holzmaden"
"829999","occ","","","91593","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Coordinates are for the village of Ohmden; no more precise data available"
"830000","occ","","","91594","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","8.767778","48.209721","DE","Baden-Württenburg","Zollernalbkreis","based on nearby landmark","seconds","small collection","Found at the reservoir (Stausee) east of Schömberg; the egress for the water cuts through the Posidonienschiefer."
"830001","occ","","","91595","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","outcrop","Coordinates based upon the village of Holzmaden"
"830002","occ","","","91596","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30856","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","9.525556","48.645557","DE","Baden-Württenburg","","based on nearby landmark","seconds","small collection","Coordinates are for the village of Ohmden; no more precise data available"
