"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"832362","occ","","","92188","Zhejiangopterus linhaiensis","species","156654","Early Campanian","","83.6","72.1","31048","Chordata","Reptilia","Pterosauria","Azhdarchidae","Zhejiangopterus","121.583336","28.750000","CN","Zhejiang","","based on nearby landmark","minutes","outcrop","Quarry behind the village of Aolicun, near Shangpanzhen. Coordinates are for Shangpanzhen.  Site is near Yandang Mountain"
"832377","occ","","","92203","Phosphatodraco mauritanicus","species","156769","Late Maastrichtian","","72.1","66","31053","Chordata","Reptilia","Pterosauria","Azhdarchidae","Phosphatodraco","-6.620833","32.875000","MA","Chaouia-Ouardigha","","estimated from map","seconds","small collection","eastern part of the Oulad Abdoun Phosphatic Basin, between the cities of Khouribga and Oued Zem. Northern part of Gran d Daoui"
"832392","occ","22352","","92228","Domeykodactylus ceciliae","species","156749","Early Cretaceous","","145","100.5","31060","Chordata","Reptilia","Pterosauria","Dsungaripteridae","Domeykodactylus","-69.209686","-25.258301","CL","Antofagasta","","stated in text","5","small collection","southernmost part of the Sierra Candeleros, Cordillera de Domeyko. Quebrada la Carreta (misspelled Carrea in first part of ref 31060)."
"832492","occ","","","92236","Bennettazhia oregonensis","species","67873","Albian","","113","100.5","14574","Chordata","Reptilia","Pterosauria","Azhdarchidae","Bennettazhia","-120.144897","43.273102","US","Oregon","Lake","stated in text","4","small collection","""Mitchell Quadrangle, Wheeler County, Oregon, S.E. 1/4 sec. 36, T. 26 S., R. 21 E. About 200 feet above gorge of a small east gulley leading into Nelson Creek about 1/4 mile above its mouth, not more than 200 feet from southward bend in Nelson Creek Raod after it reaches the flat"" "
"832534","occ","40777","","92247","Quetzalcoatlus lawsoni","species","472029","Late Maastrichtian","","72.1","66","84754","Chordata","Reptilia","Pterosauria","Azhdarchidae","Quetzalcoatlus","-103.250000","29.250000","US","Texas","Brewster","based on nearby landmark","minutes","","No exact locality details given beyond Big Bend National Park"
"832535","occ","22359","","92249","Quetzalcoatlus northropi","species","133904","Late Maastrichtian","","72.1","66","31084","Chordata","Reptilia","Pterosauria","Azhdarchidae","Quetzalcoatlus","-103.250000","29.250000","US","Texas","Brewster","based on nearby landmark","minutes","","No exact locality details given beyond Big Bend National Park"
"832536","occ","22360","","92251","Quetzalcoatlus northropi","species","133904","Late Maastrichtian","","72.1","66","31084","Chordata","Reptilia","Pterosauria","Azhdarchidae","Quetzalcoatlus","-103.529999","29.294800","US","Texas","Brewster","based on nearby landmark","4","","No exact locality details given beyond Big Bend National Park; 40 km from the smaller Quetzalcoatlus specimens described by Lawson. Lawson 1985 gives this locality as on the S flank of Dawson Creek"
"832558","occ","24451","","89951","Aussiedraco molnari","species","180302","Middle Albian","Late Albian","109.9","100.5","35562","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Aussiedraco","140.583328","-22.916668","AU","Queensland","","estimated from map","minutes","small collection","13km south of the Hamilton Hotel and 70 km east of Boulia, west Queensland"
"832614","occ","22373","","92293","Muzquizopteryx coahuilensis","species","156937","Late Turonian","Early Coniacian","93.9","86.3","31103","Chordata","Reptilia","Pterosauria","Nyctosauridae","Muzquizopteryx","-102.406113","28.883057","MX","Coahuila","","stated in text","seconds","outcrop","El Rosario, approximately 170 km WNW of Múzquiz, northern Coahuila, northeastern Mexico, near a rancho called La Rosaria. The quarry exposes a carbonate sequence that is about 50 m thick, over an area of about 150 m x 300 m. "
"832755","occ","","","75943","Azhdarcho lancicollis","species","70295","Middle Turonian","Late Turonian","93.9","89.8","64195","Chordata","Reptilia","Pterosauria","Azhdarchidae","Azhdarcho","62.655315","42.117294","UZ","Navoi","","estimated from map","6","outcrop","Dzhyrakuduk (Dzharakuduk), near Bukhara, central Kyzylkum Desert, 50 km W of Bukan-tau. ""Dzharakuduk II"" is a complex of sites within an overall outcrop; this locality includes specimens not assigned to individual sites within the complex. Note that this locality was listed as ""Dzhara-Kuduk (Itermir)"" by Kurzanov (1976), apparently in error."
"832758","occ","","","92329","Bogolubovia orientalis","species","157113","Early Campanian","","83.6","72.1","56201","Chordata","Reptilia","Pterosauria","Azhdarchidae","Bogolubovia","44.933300","52.466702","RU","Penza","","based on nearby landmark","4","small collection","Vicinity of the village of Malaya Serdoba, Penza oblast, former Saratov province"
"833082","occ","","","92421","Wukongopterus lii","species","157360","Late Bathonian","Early Kimmeridgian","168.2","152.2","31153","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Wukongopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"833111","occ","","","92426","Lonchodraco giganteus","species","157390","Cenomanian","Turonian","100.5","89.8","31159","Chordata","Reptilia","Pterosauria","Lonchodraconidae","Lonchodraco","0.493889","51.328335","UK","England","Kent","stated in text","seconds","local area","Two Culand Pits on Blue Bell Hill near Burham. OS ref. TQ 738617 (Lower Pit is TQ 737613 and Upper Pit is 739619)"
"833112","occ","28777","","92426","Cimoliopterus cuvieri","species","378440","Cenomanian","Turonian","100.5","89.8","47175","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cimoliopterus","0.493889","51.328335","UK","England","Kent","stated in text","seconds","local area","Two Culand Pits on Blue Bell Hill near Burham. OS ref. TQ 738617 (Lower Pit is TQ 737613 and Upper Pit is 739619)"
"833113","occ","","","92426","Lonchodectes compressirostris","species","95832","Cenomanian","Turonian","100.5","89.8","14140","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Lonchodectes","0.493889","51.328335","UK","England","Kent","stated in text","seconds","local area","Two Culand Pits on Blue Bell Hill near Burham. OS ref. TQ 738617 (Lower Pit is TQ 737613 and Upper Pit is 739619)"
"833870","occ","","","92421","Darwinopterus modularis","species","157946","Late Bathonian","Early Kimmeridgian","168.2","152.2","31222","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Darwinopterus","119.991112","40.868057","CN","Liaoning","Jianchang","stated in text","seconds","local area","Daxishan fossil site, Longlongta town, Jianchang county; section extends from 40° 51' 45"" N, 119° 59' 59"" E (240 m asl) to 40° 52' 20"" N, 119° 59' 03"" E (309m asl)."
"833872","occ","","","92651","Ningchengopterus liuae","species","157949","Late Barremian","Early Aptian","125.77","119.5","31223","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ningchengopterus","119.000000","41.490002","CN","Nei Mongol","Nincheng","estimated from map","2","small collection","Based on Dashuangmiao town location"
"833874","occ","","","92652","Eoazhdarcho liaoxiensis","species","157950","Aptian","","121.4","113","31224","Chordata","Reptilia","Pterosauria","Azhdarchidae","Eoazhdarcho","120.441666","41.566666","CN","Liaoning","","based on nearby landmark","minutes","local area","This is a proxy location for all Jiufotang Formation pterosaurs for which the locality is given only as ""Chaoyang City"""
"833877","occ","","","92652","Shenzhoupterus chaoyangensis","species","157952","Aptian","","121.4","113","31226","Chordata","Reptilia","Pterosauria","Chaoyangopteridae","Shenzhoupterus","120.441666","41.566666","CN","Liaoning","","based on nearby landmark","minutes","local area","This is a proxy location for all Jiufotang Formation pterosaurs for which the locality is given only as ""Chaoyang City"""
"834894","occ","","","55536","Hongshanopterus lacustris","species","158338","Aptian","","121.4","113","31275","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Hongshanopterus","120.175301","41.423901","CN","Liaoning","Chaoyang","based on nearby landmark","4","outcrop","Dapingfang, Chaoyang County, western Liaoning (30 km southwest of Chaoyang City), different from Shangheshou (but listed as same site in ref 26670"
"834950","occ","","","79941","Longchengpterus zhaoi","species","158340","Aptian","","121.4","113","31277","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Longchengpterus","120.158333","41.572224","CN","Liaoning","Chaoyang","stated in text","seconds","small collection","on a hill near Yuanjiawa village, near Dapingfang, 40 km SW of Chaoyang; Wang et al. 2008 (Zootaxa 1813) note that the Liaoxipterus holotype comes from this locality, although this is not mentioned in the original paper"
"834951","occ","","","79941","Liaoxipterus brachyognathus","species","138763","Aptian","","121.4","113","31276","Chordata","Reptilia","Pterosauria","Istiodactylidae","Liaoxipterus","120.158333","41.572224","CN","Liaoning","Chaoyang","stated in text","seconds","small collection","on a hill near Yuanjiawa village, near Dapingfang, 40 km SW of Chaoyang; Wang et al. 2008 (Zootaxa 1813) note that the Liaoxipterus holotype comes from this locality, although this is not mentioned in the original paper"
"835013","occ","","","92749","Haopterus gracilis","species","138758","Late Barremian","Early Aptian","125.77","119.5","31279","Chordata","Reptilia","Pterosauria","Mimodactylidae","Haopterus","120.872200","41.601398","CN","Liaoning","Beipiao","based on nearby landmark","4","small collection","Locality 1 at Sihetun site, Shanyuan, Beipiao city"
"836996","occ","","","79521","Yixianopterus jingangshanensis","species","158941","Late Barremian","Early Aptian","125.77","119.5","31324","Chordata","Reptilia","Pterosauria","Lonchodectidae","Yixianopterus","121.190598","41.473263","CN","Liaoning","","estimated from map","6","outcrop","Jingangshan, Yixian, Jinzhou"
"837000","occ","","","92806","Boreopterus cuiae","species","138761","Late Barremian","Early Aptian","125.77","119.5","31326","Chordata","Reptilia","Pterosauria","Boreopteridae","Boreopterus","121.116669","41.083332","CN","Liaoning","Yixian","based on nearby landmark","minutes","","""Yixian County of Jinzhou""; coordinates based upon Jinzhou city"
"837506","occ","","","92898","Sinopterus dongi","species","138765","Aptian","","121.4","113","31347","Chordata","Reptilia","Pterosauria","Tapejaridae","Sinopterus","120.044724","41.434444","CN","Liaoning","","based on nearby landmark","seconds","",""
"837508","occ","","","92652","Sinopterus gui","species","138766","Aptian","","121.4","113","31354","Chordata","Reptilia","Pterosauria","Tapejaridae","Sinopterus","120.441666","41.566666","CN","Liaoning","","based on nearby landmark","minutes","local area","This is a proxy location for all Jiufotang Formation pterosaurs for which the locality is given only as ""Chaoyang City"""
"837511","occ","","","92652","Sinopterus dongi","species","138765","Aptian","","121.4","113","31355","Chordata","Reptilia","Pterosauria","Tapejaridae","Sinopterus","120.441666","41.566666","CN","Liaoning","","based on nearby landmark","minutes","local area","This is a proxy location for all Jiufotang Formation pterosaurs for which the locality is given only as ""Chaoyang City"""
"837516","occ","","","79523","Chaoyangopterus zhangi","species","138762","Aptian","","121.4","113","31356","Chordata","Reptilia","Pterosauria","Azhdarchidae","Chaoyangopterus","120.175301","41.423901","CN","Liaoning","Chaoyang","based on nearby landmark","4","small collection","Gonggao, Dapingfang, Chaoyang County, western Liaoning (SW of Chaoyang City)"
"837517","occ","","","90046","Liaoningopterus gui","species","138764","Aptian","","121.4","113","31356","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Liaoningopterus","120.183334","41.533333","CN","Liaoning","Chaoyang","based on nearby landmark","minutes","","Xiaioyugou, Lianhe town, Chaoyang city, Liaoxi region in Liaoning province"
"837521","occ","","","92903","Eopteranodon lii","species","159349","Late Barremian","Early Aptian","125.77","119.5","31359","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Eopteranodon","120.766670","41.799999","CN","Liaoning","","based on nearby landmark","minutes","local area",""
"837536","occ","","","92652","Huaxiapterus jii","species","153805","Aptian","","121.4","113","31365","Chordata","Reptilia","Pterosauria","Tapejaridae","Huaxiapterus","120.441666","41.566666","CN","Liaoning","","based on nearby landmark","minutes","local area","This is a proxy location for all Jiufotang Formation pterosaurs for which the locality is given only as ""Chaoyang City"""
"837537","occ","","","92652","Huaxiapterus corollatus","species","153806","Aptian","","121.4","113","31366","Chordata","Reptilia","Pterosauria","Tapejaridae","Huaxiapterus","120.441666","41.566666","CN","Liaoning","","based on nearby landmark","minutes","local area","This is a proxy location for all Jiufotang Formation pterosaurs for which the locality is given only as ""Chaoyang City"""
"837538","occ","","","92905","Huaxiapterus benxiensis","species","153804","Aptian","","121.4","113","30686","Chordata","Reptilia","Pterosauria","Tapejaridae","Huaxiapterus","120.183334","41.533333","CN","Liaoning","","based on nearby landmark","minutes","","Lianhe town"
"837539","occ","","","92652","Jidapterus edentus","species","159371","Aptian","","121.4","113","31367","Chordata","Reptilia","Pterosauria","Tapejaridae","Jidapterus","120.441666","41.566666","CN","Liaoning","","based on nearby landmark","minutes","local area","This is a proxy location for all Jiufotang Formation pterosaurs for which the locality is given only as ""Chaoyang City"""
"837540","occ","","","79521","Eosipterus yangi","species","68164","Late Barremian","Early Aptian","125.77","119.5","31362","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Eosipterus","121.190598","41.473263","CN","Liaoning","","estimated from map","6","outcrop","Jingangshan, Yixian, Jinzhou"
"837541","occ","","","92906","Cathayopterus grabaui","species","138760","Late Barremian","Early Aptian","125.77","119.5","31369","Chordata","Reptilia","Pterosauria","Ctenochasmatidae","Cathayopterus","119.401108","41.240002","CN","Liaoning","","based on nearby landmark","seconds","",""
"837543","occ","","","92908","Elanodactylus prolatus","species","120628","Late Barremian","Early Aptian","125.77","119.5","26887","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Elanodactylus","120.872200","41.601398","CN","Liaoning","Beipiao","based on nearby landmark","4","","""Sihetun Basin"", Beipiao"
"837566","occ","","","92914","Gnathosaurus macrurus","species","159470","Berriasian","","145","139.8","31375","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Gnathosaurus","-2.000556","50.609722","UK","England","Dorset","based on nearby landmark","seconds","local area","""Quarry near Langton Matravers. The precise locality is not known"" - proxy for historical Purbeck pterosaur specimens from the Langton Matravers area that lack locality data"
"837568","occ","","","92914","Plataleorhynchus streptophorodon","species","159480","Berriasian","","145","139.8","31375","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Plataleorhynchus","-2.000556","50.609722","UK","England","Dorset","based on nearby landmark","seconds","local area","""Quarry near Langton Matravers. The precise locality is not known"" - proxy for historical Purbeck pterosaur specimens from the Langton Matravers area that lack locality data"
"837583","occ","","","92919","Coloborhynchus clavirostris","species","55643","Late Berriasian","Valanginian","140.6","132.6","30979","Chordata","Reptilia","Pterosauria","Anhangueridae","Coloborhynchus","0.545833","50.855556","UK","England","East Sussex","based on nearby landmark","seconds","local area","Detailed locality information not available"
"837584","occ","","","92919","Serradraco sagittirostris","species","159620","Late Berriasian","Valanginian","140.6","132.6","30979","Chordata","Reptilia","Pterosauria","Lonchodectidae","Serradraco","0.545833","50.855556","UK","England","East Sussex","based on nearby landmark","seconds","local area","Detailed locality information not available"
"837587","occ","","","92920","Lonchodectes platystomus","species","159636","Albian","","113","100.5","30979","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Lonchodectes","1.174167","51.078609","UK","England","Kent","based on nearby landmark","seconds","local area","""Folkestone"" - no more detailed locality data available"
"837589","occ","","","91586","Ornithocheirus wiedenrothi","species","159638","Early Hauterivian","","132.6","125.77","31387","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ornithocheirus","9.616667","52.433334","DE","","","based on nearby landmark","minutes","outcrop",""
"841086","occ","","","93234","Pteranodon longiceps","species","52932","Santonian","","86.3","83.6","7807","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-100.724998","38.823612","US","Kansas","Gove","estimated from map","seconds","small collection","west side of the first drainage east of Monument Rocks"
"841811","occ","","","83471","Austriadactylus cristatus","species","92172","Alaunian","Sevatian","216.7","208.5","31587","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Austriadactylus","12.864722","46.380554","IT","Friuli-Venezia Giulia","Udine","estimated from map","seconds","outcrop","""south of the church in the small village of Madonna Peraries on the Northeast-slope of the Monte Pezzeit"""
"842018","occ","","","93383","Pteranodon sternbergi","species","161805","Late Coniacian","Early Santonian","89.8","83.6","31603","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-99.704170","39.373611","US","Kansas","Graham","estimated from map","seconds","small collection","1 mile W of Bogue, 200 steps North of the south fork of the Solomon River and south of Highway 24"
"842019","occ","22698","","93384","Pteranodon sternbergi","species","161805","Late Coniacian","Early Santonian","89.8","83.6","31602","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-100.116669","38.833332","US","Kansas","Trego","estimated from map","minutes","small collection","Smoky Hill River, near Castle Rock, Trego County"
"842021","occ","","","93386","Pteranodon longiceps","species","52932","Santonian","","86.3","83.6","31602","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-99.933334","39.366669","US","Kansas","Graham","estimated from map","minutes","small collection","2 miles NE of Penokee, Sec. 13, T8S, R24W"
"842022","occ","","","84697","Nyctosaurus bonneri","species","161803","Santonian","","86.3","83.6","31602","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Nyctosaurus","-100.866669","38.799999","US","Kansas","Logan","based on nearby landmark","minutes","local area","""near Elkader.. The exact location (section and township) of discovery are unknown"" (coordinate based on Elkader)"
"842023","occ","22699","","93387","Pteranodon longiceps","species","52932","Late Santonian","","86.3","83.6","31602","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-100.666664","38.916668","US","Kansas","Gove","estimated from map","minutes","local area","vicinity of Plum Creek, western Gove County"
"842024","occ","","","93388","Nyctosaurus nanus","species","63755","Late Coniacian","Early Santonian","89.8","83.6","31608","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Nyctosaurus","-99.599998","39.333332","US","Kansas","","based on political unit","minutes","small collection","""line between Graham and Rooks counties"""
"842025","occ","","","93389","Nyctosaurus gracilis","species","52936","Late Santonian","","86.3","83.6","7807","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Nyctosaurus","-100.333336","38.916668","US","Kansas","Trego","estimated from map","minutes","small collection","Listed as ""Huckberry, Gove County"" by Schoch (1984), but is presumably ""Hackberry Creek"" in nearby Trego County, from which other Niobrara vertebrates have been collected"
"842026","occ","22700","","93390","Nyctosaurus gracilis","species","52936","Late Coniacian","Santonian","89.8","83.6","31519","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Nyctosaurus","-100.766670","38.766666","US","Kansas","Gove","based on nearby landmark","minutes","small collection","""gently sloping surface on the Smoky Hill rover, vicinity of Monument Rocks"""
"842027","occ","22701","","93391","Pteranodon longiceps","species","52932","Santonian","","86.3","83.6","31085","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-101.166664","38.733334","US","Kansas","Logan","estimated from map","minutes","small collection",""
"842094","occ","","","93387","Pteranodon longiceps","species","52932","Late Santonian","","86.3","83.6","31608","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-100.666664","38.916668","US","Kansas","Gove","estimated from map","minutes","local area","vicinity of Plum Creek, western Gove County"
"842095","occ","","","93225","Pteranodon longiceps","species","52932","Santonian","","86.3","83.6","31608","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-100.916664","38.766666","US","Kansas","Logan","estimated from map","minutes","local area",""
"842096","occ","","","93422","Pteranodon longiceps","species","52932","Santonian","","86.3","83.6","31608","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pteranodon","-101.216667","38.905556","US","Kansas","Logan","estimated from map","seconds","small collection","north side of the Smoky Hill River, two miles west of Russell Springs"
"844034","occ","","","93870","Sericipterus wucaiwanensis","species","162686","Oxfordian","","161.5","154.8","31911","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Sericipterus","88.919884","45.191288","CN","Xinjiang","","based on nearby landmark","6","small collection","""Wucaiwan locality, eastern Junggar Basin""; coordinates are based upon other Wucaiwan localities in the database"
"844039","occ","","","93872","Aetodactylus halli","species","162693","Middle Cenomanian","","100.5","93.9","31912","Chordata","Reptilia","Pterosauria","Ornithocheiridae","Aetodactylus","-97.061111","32.605556","US","Texas","","based on nearby landmark","seconds","small collection","near Joe Pool Lake"
"844041","occ","","","93874","Cretornis hlavaci","species","319841","Middle Turonian","Late Turonian","93.9","89.8","31915","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Cretornis","16.191900","50.004398","CZ","Pardubice","Ústí nad Orlicí","based on nearby landmark","4","small collection","In a gorge near Zárecká Lhota (also described as a ""small quarry"" ca. 600 m W of the village), near Chotza; coordinates for the village; E part of Bohemian Cretaceous Basin"
"845872","occ","","","94085","Ctenochasma roemeri","species","156651","Berriasian","","145","139.8","31956","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ctenochasma","9.500000","52.266666","DE","Niedersachsen","Hannover","based on nearby landmark","minutes","small collection",""
"846844","occ","","","94207","Eudimorphodon ranzii","species","131614","Sevatian","","213.2","208.5","32007","Chordata","Reptilia","Pterosauria","Campylognathoididae","Eudimorphodon","9.558333","45.797222","IT","Lombardia","Bergamo","based on nearby landmark","seconds","small collection","ca. 500 m northwest of the main church of Ponte Giurino, about 15 km northwest of Bergamo"
"846845","occ","","","59639","Eudimorphodon ranzii","species","131614","Alaunian","","216.7","213.2","32008","Chordata","Reptilia","Pterosauria","Campylognathoididae","Eudimorphodon","9.817000","45.783001","IT","Lombardia","Bergamo","based on nearby landmark","3","outcrop","quarry on the slope of Monte Bo, close to the small town of Cene, Seriana Valley, Bergamo. Coordinates are for Cene."
"846846","occ","","","59639","Peteinosaurus zambelli","species","163056","Alaunian","","216.7","213.2","32009","Chordata","Reptilia","Pterosauria","Dimorphodontidae","Peteinosaurus","9.817000","45.783001","IT","Lombardia","Bergamo","based on nearby landmark","3","outcrop","quarry on the slope of Monte Bo, close to the small town of Cene, Seriana Valley, Bergamo. Coordinates are for Cene."
"846849","occ","","","36377","Eudimorphodon ranzii","species","131614","Alaunian","","216.7","213.2","32011","Chordata","Reptilia","Pterosauria","Campylognathoididae","Eudimorphodon","9.717000","45.682999","IT","Lombardia","","based on nearby landmark","3","small collection","Endenna cave, in the Bergamo Prealps, Bergamasco, Italy. Coordinates for Bergamo."
"846914","occ","","","94210","Aerodraco sedgwickii","species","95829","Late Albian","","106.2","100.5","32019","Chordata","Reptilia","Pterosauria","Anhangueridae","Aerodraco","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846915","occ","","","94210","Camposipterus nasutus","species","321016","Late Albian","","106.2","100.5","32019","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Camposipterus","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846918","occ","","","94210","Ornithocheirus simus","species","95830","Late Albian","","106.2","100.5","32023","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ornithocheirus","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846921","occ","","","94210","Lonchodectes microdon","species","163233","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Lonchodectes","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846923","occ","","","94210","Lonchodectes microdon","species","163233","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Lonchodectes","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846924","occ","","","94210","Anhanguera cuvieri","species","95831","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846925","occ","","","94210","Camposipterus nasutus","species","321016","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Camposipterus","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846926","occ","","","94210","Lonchodectes microdon","species","163233","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Lonchodectes","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846934","occ","","","94210","Nicorhynchus capito","species","163248","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","Anhangueridae","Nicorhynchus","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846936","occ","","","94210","Lonchodectes platystomus","species","159636","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Lonchodectes","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846938","occ","","","94210","Anhanguera cuvieri","species","95831","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846940","occ","","","94210","Ornithocheirus simus","species","95830","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ornithocheirus","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846984","occ","","","94210","Anhanguera cuvieri","species","95831","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Anhanguera","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846986","occ","","","94210","Nicorhynchus capito","species","163248","Late Albian","","106.2","100.5","32034","Chordata","Reptilia","Pterosauria","Anhangueridae","Nicorhynchus","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"846991","occ","","","94210","Ornithostoma sedgwicki","species","163254","Late Albian","","106.2","100.5","32038","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ornithostoma","0.133333","52.200001","UK","England","Cambridgeshire","based on nearby landmark","minutes","local area","Historical specimens from the Cambridge area"
"847051","occ","28778","","94264","Lonchodectes platystomus","species","159636","Late Albian","","106.2","100.5","47175","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Lonchodectes","0.186111","52.240276","UK","England","Cambridgeshire","based on nearby landmark","seconds","local area",""
"849614","occ","","","77891","Arthurdactylus conandoylei","species","163696","Late Aptian","","119.5","113","32077","Chordata","Reptilia","Pterosauria","Ornithocheiridae","Arthurdactylus","-39.700001","-7.125000","BR","Ceara","","based on nearby landmark","3","local area","from the stone quarries south of Nova Olinda"
"849615","occ","","","77891","Tupandactylus imperator","species","156665","Late Aptian","","119.5","113","32111","Chordata","Reptilia","Pterosauria","Tapejaridae","Tupandactylus","-39.700001","-7.125000","BR","Ceara","","based on nearby landmark","3","local area","from the stone quarries south of Nova Olinda"
"849620","occ","","","77891","Ludodactylus sibbicki","species","163698","Late Aptian","","119.5","113","32115","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ludodactylus","-39.700001","-7.125000","BR","Ceara","","based on nearby landmark","3","local area","from the stone quarries south of Nova Olinda"
