Name,Location,Latitude,Longitude
Miria Formation,['Australia'],,
Molecap Greensand,['Australia'],,
Patcham Formation,['India'],,
Qagannur Formation,['China'],,
Qigu Formation,['China'],,
Rabekke Formation,['Denmark'],,
Sables de Breze,['France'],,
Sables de Cherre,['France'],,
Sables et Gres a Trigonia gibbosa,['France'],,
Snake Ridge Formation,['Mexico'],,
Soledad Beds,['Mexico'],,
Tahora Formation,['New Zealand'],,
Tiki Formation,['India'],,
Valle de Angeles Redbeds,['Honduras'],,
Valtos Sandstone Formation,['Scotland'],,
Villigen Formation,['Switzerland'],,
Whitby Mudstone Formation,['UK'],,
Yacoraite Formation,['Argentina'],,
Yongantun Formation,['China'],,
Zhirkindek Formation,['Kazakhstan'],,
Zoumagang Formation,['China'],,
Morrison Formation,['USA'],,
Solnhofen limestone,['Germany'],,
Yixian Formation,['China'],,
