Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,Max First Appearance (MYA),Min Last Appearance (MYA),Early Interval,Late Interval,Era
Darwinopterus modularis,Darwinopterus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Darwinopterus robustodens,Darwinopterus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Douzhanopterus zhengi,Douzhanopterus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Pterodactylus antiquus,Pterodactylus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Pterodactylus cirinensis,Pterodactylus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,154.8,149.2,Kimmeridgian,Kimmeridgian,Jurassic
Pterodactylus kochi,Pterodactylus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Pterodactylus micronyx,Pterodactylus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,149.2,146.3,Tithonian,Tithonian,Jurassic
Pterodactylus spectabilis,Pterodactylus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Wukongopterus lii,Wukongopterus,Monofenestrata,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,168.2,152.2,Bathonian,Kimmeridgian,Jurassic
Harpactognathus gentryii,Harpactognathus,Lonchognatha,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,152.2,146.3,Kimmeridgian,Tithonian,Jurassic
Caelestiventus hanseni,Caelestiventus,Dimorphodontidae,Dimorphodontidae,Pterosauria,Reptilia,1,237.0,174.7,Carnian,Toarcian,
Dimorphodon macronyx,Dimorphodon,Dimorphodontidae,Dimorphodontidae,Pterosauria,Reptilia,2,201.4,192.9,Hettangian,Sinemurian,
Dimorphodon weintraubi,Dimorphodon,Dimorphodontidae,Dimorphodontidae,Pterosauria,Reptilia,1,192.9,184.2,Pliensbachian,Pliensbachian,Jurassic
Peteinosaurus zambelli,Peteinosaurus,Dimorphodontidae,Dimorphodontidae,Pterosauria,Reptilia,2,216.7,213.2,Norian,Norian,Triassic
Parapsicephalus purdoni,Parapsicephalus,Macronychoptera,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,184.2,182.9,Toarcian,Toarcian,Jurassic
Tacuadactylus luciae,Tacuadactylus,Gnathosaurinae,Ctenochasmatidae,Pterosauria,Reptilia,2,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Balaenognathus maeuseri,Balaenognathus,Ctenochasmatidae,Ctenochasmatidae,Pterosauria,Reptilia,1,152.2,149.2,Kimmeridgian,Kimmeridgian,Jurassic
Cathayopterus grabaui,Cathayopterus,Ctenochasmatidae,Ctenochasmatidae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Forfexopterus jeholensis,Forfexopterus,Ctenochasmatidae,Ctenochasmatidae,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Liaodactylus primus,Liaodactylus,Ctenochasmatidae,Ctenochasmatidae,Pterosauria,Reptilia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Pterofiltrus qiui,Pterofiltrus,Ctenochasmatidae,Ctenochasmatidae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Gladocephaloideus jingangshanensis,Gladocephaloideus,Gallodactylidae,Gallodactylidae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Petrodactyle wellnhoferi,Petrodactyle,Gallodactylidae,Gallodactylidae,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Serradraco sagittirostris,Serradraco,Lonchodectidae,Lonchodectidae,Pterosauria,Reptilia,1,140.6,132.6,Berriasian,Valanginian,Cretaceous
Yixianopterus jingangshanensis,Yixianopterus,Lonchodectidae,Lonchodectidae,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Prejanopterus curvirostris,Prejanopterus,Ctenochasmatoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,119.5,Aptian,Aptian,Cretaceous
Unwindia trigonus,Unwindia,Ctenochasmatoidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Beipiaopterus chenianus,Beipiaopterus,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Ctenochasma elegans,Ctenochasma,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
Ctenochasma porocristata,Ctenochasma,Lophocratia,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,149.2,146.3,Tithonian,Tithonian,Jurassic
